,Make,Year,Kilometer,Seating_Capacity,Fuel_Tank_Capacity,Price,Automatic,Manual,First_O,Second_O,Others_O,Petrol,Diesel,Others_F
412,6,2011,87513,5.0,35.0,227000,0,1,0,1,0,1,0,0
413,27,2011,26000,5.0,90.0,1850000,1,0,1,0,0,1,0,0
414,6,2022,3800,4.0,55.0,610000,0,1,1,0,0,0,0,1
415,17,2018,35123,8.0,55.0,1995000,0,1,1,0,0,0,1,0
416,16,2021,21000,5.0,50.0,1875000,1,0,1,0,0,0,1,0
417,9,2022,2670,5.0,50.0,1748999,1,0,1,0,0,1,0,0
418,15,2016,124000,5.0,55.0,640000,0,1,1,0,0,0,1,0
419,9,2016,9889,5.0,45.0,779000,0,1,1,0,0,1,0,0
420,7,2021,13000,5.0,40.0,1450000,1,0,1,0,0,1,0,0
421,11,2018,35000,5.0,44.0,890000,1,0,1,0,0,1,0,0
422,6,2017,51145,5.0,37.0,625000,0,1,1,0,0,1,0,0
423,27,2019,13000,7.0,100.0,8500000,1,0,1,0,0,0,1,0
424,21,2011,56000,5.0,64.0,2900000,1,0,0,0,1,1,0,0
425,17,2010,120000,5.0,35.0,434999,0,1,1,0,0,0,1,0
426,27,2018,45000,5.0,66.0,4550000,1,0,1,0,0,0,1,0
427,15,2017,82900,5.0,66.0,2500000,1,0,1,0,0,0,1,0
428,6,2014,56843,5.0,35.0,249000,0,1,0,1,0,0,0,1
429,14,2015,64000,5.0,45.0,270000,0,1,1,0,0,1,0,0
430,6,2019,9644,5.0,37.0,825000,1,0,1,0,0,1,0,0
431,6,2017,41624,5.0,35.0,425000,1,0,0,1,0,1,0,0
432,9,2016,82844,5.0,43.0,459999,0,1,1,0,0,0,1,0
433,27,2011,78000,5.0,80.0,980000,1,0,0,1,0,1,0,0
434,4,2017,60444,5.0,50.0,789000,0,1,1,0,0,1,0,0
435,25,2022,6000,5.0,57.0,5100000,1,0,1,0,0,1,0,0
436,12,2014,125000,8.0,60.0,775000,0,1,1,0,0,0,1,0
437,9,2019,13000,5.0,60.0,1400000,1,0,1,0,0,1,0,0
438,6,2015,112000,7.0,45.0,770000,0,1,1,0,0,0,1,0
439,6,2012,54948,5.0,43.0,445000,0,1,1,0,0,0,1,0
440,9,2016,53300,5.0,43.0,450000,0,1,1,0,0,1,0,0
441,7,2019,34000,5.0,40.0,840000,0,1,1,0,0,1,0,0
442,27,2021,21000,4.0,70.0,18500000,1,0,1,0,0,1,0,0
443,28,2017,25500,5.0,57.0,4000000,1,0,0,1,0,0,1,0
444,12,2015,157662,7.0,70.0,690000,0,1,0,1,0,0,1,0
445,27,2018,20000,5.0,56.0,2800000,1,0,1,0,0,0,1,0
446,9,2018,78900,5.0,43.0,525000,0,1,1,0,0,0,1,0
447,6,2011,52000,5.0,35.0,285000,0,1,1,0,0,0,0,1
448,27,2022,11000,5.0,80.0,7780000,1,0,1,0,0,0,1,0
449,15,2018,103000,7.0,63.0,1989999,1,0,1,0,0,0,1,0
450,11,2017,95785,7.0,60.0,1200000,1,0,1,0,0,0,1,0
451,14,2017,92000,5.0,52.0,620000,0,1,1,0,0,0,1,0
452,24,2019,43000,5.0,82.0,5200000,1,0,1,0,0,0,1,0
453,27,2017,39328,5.0,56.0,1998999,1,0,1,0,0,0,1,0
454,17,2020,18625,7.0,55.0,2725000,1,0,1,0,0,0,1,0
455,6,2019,26000,5.0,42.0,590000,0,1,1,0,0,1,0,0
456,22,2014,81000,5.0,47.0,1489000,1,0,0,1,0,0,1,0
457,6,2018,92000,5.0,37.0,685000,1,0,1,0,0,0,1,0
458,12,2019,38000,7.0,60.0,1121000,0,1,1,0,0,0,1,0
459,11,2012,93000,5.0,44.0,114999,0,1,0,1,0,1,0,0
460,6,2019,10340,5.0,35.0,545000,0,1,1,0,0,1,0,0
461,21,2015,47706,5.0,64.0,1350000,1,0,1,0,0,0,1,0
462,6,2021,13400,6.0,45.0,1299000,0,1,1,0,0,1,0,0
463,14,2016,44613,5.0,40.0,450000,0,1,1,0,0,0,1,0
464,29,2017,7000,2.0,54.0,9000000,1,0,1,0,0,1,0,0
465,6,2019,29000,5.0,42.0,550000,0,1,1,0,0,1,0,0
466,25,2020,23000,5.0,57.0,4390000,1,0,1,0,0,0,1,0
467,6,2015,67580,5.0,35.0,445000,0,1,1,0,0,0,0,1
468,9,2015,42000,5.0,43.0,495000,0,1,1,0,0,1,0,0
469,9,2015,16205,5.0,32.0,360000,0,1,1,0,0,1,0,0
470,6,2007,92000,5.0,66.0,345000,1,0,0,0,1,1,0,0
471,9,2016,29000,5.0,43.0,565000,1,0,1,0,0,1,0,0
472,27,2022,14000,5.0,93.0,9390000,1,0,1,0,0,0,1,0
473,12,2017,69000,7.0,60.0,615000,1,0,1,0,0,0,1,0
474,7,2015,114635,5.0,40.0,525000,0,1,1,0,0,0,1,0
475,25,2018,50000,5.0,63.0,2650000,1,0,0,1,0,0,1,0
476,25,2019,29221,5.0,63.0,3785000,1,0,1,0,0,0,1,0
477,27,2012,158000,5.0,35.0,1500000,1,0,1,0,0,1,0,0
478,21,2012,77000,5.0,65.0,1175000,1,0,0,1,0,0,1,0
479,27,2022,5500,5.0,66.0,6400000,1,0,0,0,1,0,1,0
480,25,2013,70000,5.0,60.0,1450000,1,0,0,1,0,0,1,0
481,25,2017,65341,5.0,35.0,4900000,1,0,0,1,0,0,1,0
482,7,2022,32000,5.0,40.0,1390000,1,0,1,0,0,1,0,0
483,33,2018,9500,2.0,78.0,35000000,1,0,1,0,0,1,0,0
484,8,2020,17904,5.0,71.0,2990000,1,0,1,0,0,0,1,0
485,28,2012,95000,5.0,57.0,2150000,1,0,1,0,0,0,1,0
486,6,2013,72000,5.0,35.0,315000,0,1,1,0,0,0,0,1
487,6,2004,65082,5.0,35.0,71001,0,1,1,0,0,1,0,0
488,7,2012,66240,5.0,35.0,295000,0,1,0,0,1,1,0,0
489,27,2018,25275,5.0,93.0,8500000,1,0,1,0,0,1,0,0
490,6,2016,67850,5.0,35.0,400000,0,1,1,0,0,0,0,1
491,11,2010,60000,4.0,15.0,49000,0,1,1,0,0,1,0,0
492,12,2012,88500,5.0,35.0,379000,0,1,0,1,0,0,1,0
493,6,2017,105000,5.0,42.0,610000,0,1,1,0,0,0,1,0
494,9,2019,45000,5.0,55.0,1075000,1,0,1,0,0,1,0,0
495,27,2021,8000,5.0,80.0,7500000,1,0,1,0,0,0,1,0
496,17,2018,38000,5.0,55.0,1321000,1,0,1,0,0,1,0,0
497,6,2020,55055,5.0,48.0,950000,0,1,1,0,0,0,1,0
498,6,2021,22000,5.0,37.0,825000,0,1,1,0,0,1,0,0
499,13,2013,95000,7.0,70.0,1300000,0,1,0,1,0,0,1,0
500,6,2014,25704,5.0,42.0,465000,0,1,1,0,0,1,0,0
501,6,2016,55353,5.0,42.0,475000,0,1,0,1,0,0,1,0
502,21,2015,80000,5.0,64.0,1775000,1,0,1,0,0,0,1,0
503,8,2018,62000,5.0,55.0,825000,1,0,1,0,0,1,0,0
504,14,2019,41526,7.0,80.0,3450000,1,0,1,0,0,0,1,0
505,11,2018,29434,5.0,35.0,379000,0,1,0,1,0,1,0,0
506,1,2017,42000,5.0,35.0,240000,0,1,1,0,0,1,0,0
507,16,2021,14000,5.0,50.0,1525000,0,1,1,0,0,1,0,0
508,25,2014,35000,5.0,60.0,1400000,1,0,1,0,0,0,1,0
509,27,2012,75000,5.0,35.0,1044999,1,0,0,1,0,0,1,0
510,32,2016,6000,2.0,35.0,24000000,1,0,1,0,0,1,0,0
511,27,2018,61000,5.0,50.0,2450000,1,0,0,1,0,0,1,0
512,27,2015,45000,5.0,50.0,1789999,1,0,1,0,0,0,1,0
513,27,2019,31000,5.0,66.0,4275000,1,0,1,0,0,0,1,0
514,9,2020,39000,5.0,37.0,775000,0,1,1,0,0,1,0,0
515,6,2012,52000,5.0,35.0,229999,0,1,1,0,0,1,0,0
516,6,2011,54000,5.0,35.0,280000,0,1,1,0,0,0,0,1
517,9,2018,51000,5.0,32.0,300000,0,1,1,0,0,1,0,0
518,6,2011,72000,5.0,35.0,160000,0,1,1,0,0,1,0,0
519,6,2011,65000,5.0,35.0,150000,0,1,1,0,0,1,0,0
520,27,2020,50000,5.0,93.0,8300000,1,0,1,0,0,0,1,0
521,21,2016,80251,5.0,64.0,1685000,1,0,0,1,0,0,1,0
522,9,2010,86000,5.0,35.0,270000,0,1,0,1,0,1,0,0
523,6,2014,42505,5.0,35.0,210000,0,1,1,0,0,1,0,0
524,9,2017,42000,5.0,45.0,625000,0,1,1,0,0,1,0,0
525,25,2017,42200,4.0,78.0,6900000,1,0,1,0,0,0,1,0
526,16,2019,57600,5.0,50.0,1490000,1,0,1,0,0,1,0,0
527,12,2018,57000,7.0,70.0,1095000,0,1,1,0,0,0,1,0
528,14,2014,85000,7.0,71.0,850000,1,0,1,0,0,0,1,0
529,9,2016,128000,5.0,62.0,1600000,1,0,0,1,0,0,1,0
530,17,2011,66000,5.0,45.0,265000,0,1,1,0,0,1,0,0
531,8,2013,58000,5.0,55.0,360000,0,1,1,0,0,1,0,0
532,6,2012,89445,5.0,43.0,350000,0,1,1,0,0,0,1,0
533,17,2015,64120,7.0,80.0,1485000,0,1,0,1,0,0,1,0
534,6,2017,82300,5.0,43.0,800000,0,1,1,0,0,1,0,0
535,6,2017,73000,5.0,48.0,710000,0,1,1,0,0,0,1,0
536,6,2018,72000,5.0,48.0,710000,0,1,1,0,0,0,1,0
