,Make,Year,Kilometer,Seating_Capacity,Fuel_Tank_Capacity,Price,Automatic,Manual,First_O,Second_O,Others_O,Petrol,Diesel,Others_F
1648,6,2013,85785,5.0,43.0,275000,0,1,0,1,0,0,1,0
1649,8,2018,38000,5.0,55.0,690000,0,1,1,0,0,1,0,0
1650,9,2020,12905,5.0,37.0,1130000,0,1,1,0,0,1,0,0
1651,17,2019,26000,7.0,55.0,2295000,1,0,1,0,0,0,1,0
1652,27,2021,9000,5.0,43.0,4100000,1,0,1,0,0,1,0,0
1653,11,2018,65000,5.0,44.0,725000,0,1,0,1,0,0,1,0
1654,9,2019,48000,5.0,40.0,595000,0,1,1,0,0,1,0,0
1655,9,2011,91000,5.0,35.0,290000,0,1,1,0,0,1,0,0
1656,9,2011,84873,5.0,35.0,350000,0,1,0,1,0,1,0,0
1657,19,2022,15000,5.0,81.0,6100000,1,0,1,0,0,1,0,0
1658,12,2020,52000,5.0,42.0,1080000,0,1,1,0,0,0,1,0
1659,17,2013,90000,5.0,45.0,299000,0,1,0,0,1,0,1,0
1660,6,2018,58000,5.0,42.0,575000,0,1,1,0,0,0,0,1
1661,7,2014,67000,5.0,35.0,390000,1,0,1,0,0,1,0,0
1662,12,2015,67000,8.0,60.0,875000,0,1,1,0,0,0,1,0
1663,9,2021,37556,5.0,45.0,1175000,0,1,1,0,0,0,1,0
1664,6,2012,54000,5.0,35.0,260000,0,1,1,0,0,1,0,0
1665,7,2019,42000,5.0,35.0,650000,0,1,1,0,0,1,0,0
1666,8,2017,55000,5.0,45.0,625000,0,1,1,0,0,1,0,0
1667,20,2019,23952,5.0,60.0,1725000,0,1,1,0,0,0,1,0
1668,6,2015,92000,5.0,35.0,299000,0,1,0,1,0,0,0,1
1669,9,2013,34000,5.0,35.0,375000,1,0,1,0,0,1,0,0
1670,6,2020,44300,5.0,35.0,639000,1,0,1,0,0,1,0,0
1671,6,2015,65000,5.0,43.0,591000,0,1,1,0,0,0,1,0
1672,27,2018,102000,5.0,93.0,4200000,1,0,1,0,0,0,1,0
1673,7,2009,110000,5.0,42.0,250000,1,0,1,0,0,1,0,0
1674,16,2021,11000,5.0,50.0,1399000,0,1,1,0,0,1,0,0
1675,9,2020,39000,5.0,65.0,740000,0,1,1,0,0,0,0,1
1676,9,2009,65000,5.0,35.0,175000,0,1,0,1,0,1,0,0
1677,25,2019,42500,5.0,35.0,3750000,1,0,1,0,0,0,1,0
1678,25,2013,80000,5.0,65.0,1600000,1,0,0,1,0,0,1,0
1679,6,2013,25200,5.0,35.0,285000,0,1,1,0,0,1,0,0
1680,7,2017,132683,5.0,40.0,250000,0,1,1,0,0,0,1,0
1681,4,2017,81000,5.0,50.0,625000,0,1,1,0,0,0,1,0
1682,6,2011,58888,5.0,35.0,190000,0,1,0,1,0,1,0,0
1683,25,2019,30000,5.0,65.0,4800000,1,0,1,0,0,0,1,0
1684,6,2015,50599,5.0,42.0,575000,0,1,0,1,0,1,0,0
1685,25,2017,29000,5.0,63.0,2800000,1,0,0,1,0,0,1,0
1686,7,2018,23000,5.0,40.0,785000,1,0,1,0,0,1,0,0
1687,28,2019,50000,7.0,65.0,4575000,1,0,1,0,0,0,1,0
1688,21,2016,84878,5.0,64.0,1950000,1,0,0,1,0,0,1,0
1689,25,2019,31000,5.0,65.0,4800000,1,0,1,0,0,0,1,0
1690,17,2019,71063,8.0,55.0,1998999,0,1,1,0,0,0,1,0
1691,14,2016,69001,5.0,52.0,475000,0,1,1,0,0,1,0,0
1692,9,2014,62000,5.0,43.0,415000,0,1,0,1,0,0,1,0
1693,9,2012,82000,5.0,45.0,375000,0,1,1,0,0,0,1,0
1694,17,2011,49200,5.0,45.0,300000,0,1,1,0,0,1,0,0
1695,12,2021,8000,4.0,57.0,1500000,0,1,0,1,0,1,0,0
1696,6,2019,58000,5.0,48.0,975000,0,1,1,0,0,0,1,0
1697,6,2015,64000,5.0,35.0,370000,0,1,1,0,0,1,0,0
1698,9,2012,48568,5.0,35.0,250000,0,1,1,0,0,1,0,0
1699,24,2014,66500,5.0,83.0,3150000,1,0,1,0,0,0,1,0
1700,12,2018,58590,7.0,70.0,1115000,0,1,1,0,0,0,1,0
1701,9,2009,59000,5.0,35.0,130000,0,1,0,1,0,1,0,0
1702,6,2013,47000,5.0,42.0,299000,0,1,1,0,0,1,0,0
1703,9,2014,40000,5.0,45.0,300000,0,1,1,0,0,1,0,0
1704,15,2021,13092,5.0,66.0,3325000,1,0,1,0,0,1,0,0
1705,21,2016,57057,5.0,63.0,1950000,1,0,1,0,0,0,1,0
1706,6,2015,90000,5.0,42.0,500000,0,1,1,0,0,0,1,0
1707,9,2015,45000,5.0,45.0,595000,0,1,1,0,0,1,0,0
1708,6,2018,44000,5.0,35.0,484999,1,0,1,0,0,1,0,0
1709,12,2021,17000,4.0,57.0,1700000,0,1,1,0,0,0,1,0
1710,6,2019,50860,5.0,32.0,579000,0,1,1,0,0,1,0,0
1711,14,2020,20000,7.0,80.0,3800000,1,0,1,0,0,0,1,0
1712,17,2018,51000,7.0,80.0,3290000,1,0,1,0,0,0,1,0
1713,27,2018,24000,5.0,66.0,4250000,1,0,1,0,0,0,1,0
1714,6,2017,34908,5.0,37.0,535000,0,1,1,0,0,1,0,0
1715,4,2017,67000,5.0,50.0,775000,1,0,1,0,0,0,1,0
1716,6,2014,19000,5.0,35.0,345000,1,0,0,1,0,1,0,0
1717,15,2019,30600,5.0,50.0,3400000,1,0,1,0,0,1,0,0
1718,25,2018,49500,5.0,65.0,4500000,1,0,1,0,0,0,1,0
1719,7,2016,18800,5.0,40.0,525000,0,1,1,0,0,1,0,0
1720,9,2016,100000,5.0,45.0,650000,0,1,1,0,0,1,0,0
1721,9,2017,50050,5.0,60.0,1074000,1,0,1,0,0,1,0,0
1722,9,2021,14000,5.0,60.0,1750000,0,1,1,0,0,0,1,0
1723,5,2014,55000,5.0,50.0,590000,0,1,0,1,0,0,1,0
1724,14,2018,23000,4.0,60.9,7990000,1,0,1,0,0,1,0,0
1725,9,2020,35000,5.0,50.0,1725000,0,1,1,0,0,0,1,0
1726,6,2019,20734,5.0,35.0,630000,1,0,1,0,0,1,0,0
1727,27,2020,15200,5.0,66.0,6975000,1,0,1,0,0,0,1,0
1728,17,2013,83000,7.0,80.0,1375000,0,1,1,0,0,0,1,0
1729,7,2014,75000,5.0,35.0,425000,0,1,1,0,0,0,1,0
1730,17,2019,42794,8.0,55.0,2196000,1,0,1,0,0,0,1,0
1731,27,2020,40000,6.0,57.0,6300000,1,0,1,0,0,0,1,0
1732,6,2008,41000,5.0,35.0,200000,0,1,1,0,0,1,0,0
1733,7,2009,72256,5.0,42.0,250000,0,1,1,0,0,1,0,0
1734,21,2018,17300,5.0,50.0,2950000,1,0,1,0,0,0,1,0
1735,12,2017,68000,8.0,60.0,985000,0,1,1,0,0,0,1,0
1736,9,2019,43600,5.0,45.0,750000,1,0,1,0,0,1,0,0
1737,6,2018,43000,5.0,35.0,450000,0,1,1,0,0,1,0,0
1738,6,2021,17283,5.0,48.0,849000,0,1,1,0,0,1,0,0
1739,6,2014,59000,5.0,42.0,430000,0,1,1,0,0,1,0,0
1740,6,2017,88000,7.0,45.0,740000,0,1,1,0,0,0,1,0
1741,27,2015,19000,5.0,35.0,1975000,1,0,1,0,0,1,0,0
1742,25,2021,9500,6.0,83.0,12500000,1,0,1,0,0,1,0,0
1743,9,2018,36000,5.0,55.0,1260000,1,0,1,0,0,1,0,0
1744,4,2017,32000,5.0,28.0,250000,0,1,1,0,0,1,0,0
1745,9,2018,53300,5.0,45.0,975000,1,0,1,0,0,1,0,0
1746,21,2022,1,5.0,54.0,4151000,1,0,0,0,1,1,0,0
1747,25,2020,32005,5.0,61.0,3250000,1,0,0,1,0,0,1,0
1748,14,2018,35000,7.0,80.0,3450000,1,0,1,0,0,0,1,0
1749,25,2022,18223,5.0,60.0,6680000,1,0,1,0,0,1,0,0
1750,12,2016,92000,7.0,60.0,600000,0,1,0,1,0,0,1,0
1751,9,2019,22000,5.0,50.0,1465000,1,0,0,1,0,1,0,0
1752,9,2014,62000,5.0,43.0,475000,0,1,1,0,0,1,0,0
1753,4,2022,4000,5.0,40.0,1000000,1,0,0,1,0,1,0,0
1754,17,2016,72000,7.0,55.0,1850000,1,0,1,0,0,0,1,0
1755,6,2015,60798,5.0,43.0,570000,0,1,1,0,0,1,0,0
1756,9,2016,20000,5.0,43.0,770000,1,0,1,0,0,1,0,0
1757,7,2019,18000,5.0,40.0,1040000,1,0,1,0,0,1,0,0
1758,12,2014,78000,8.0,60.0,675000,0,1,0,1,0,0,1,0
1759,6,2014,52000,5.0,42.0,450000,0,1,1,0,0,1,0,0
1760,6,2022,10000,5.0,37.0,800000,0,1,1,0,0,1,0,0
1761,11,2021,32000,7.0,63.0,2200000,0,1,1,0,0,0,1,0
1762,12,2015,138000,7.0,70.0,1075000,0,1,1,0,0,0,1,0
1763,6,2018,84500,5.0,37.0,560000,0,1,0,0,1,0,1,0
1764,9,2016,47000,5.0,43.0,450000,0,1,0,1,0,1,0,0
1765,23,2018,20000,5.0,55.0,4175000,1,0,1,0,0,0,1,0
1766,22,2022,0,4.0,44.0,5200000,1,0,0,0,1,1,0,0
1767,9,2018,73000,5.0,45.0,810000,0,1,1,0,0,0,1,0
1768,27,2011,72000,4.0,80.0,1875000,1,0,1,0,0,1,0,0
1769,7,2015,42000,5.0,40.0,520000,1,0,1,0,0,1,0,0
1770,27,2021,9000,5.0,93.0,8900000,1,0,1,0,0,0,1,0
1771,29,2015,33000,5.0,35.0,5590000,1,0,1,0,0,0,1,0
1772,6,2015,36528,5.0,42.0,425000,0,1,0,0,1,0,1,0
1773,6,2012,30000,5.0,42.0,325000,0,1,1,0,0,1,0,0
1774,20,2021,17000,5.0,60.0,1889999,1,0,1,0,0,1,0,0
1775,23,2016,79000,5.0,70.0,1950000,1,0,1,0,0,0,1,0
1776,25,2019,15087,5.0,67.0,5300000,1,0,1,0,0,0,1,0
1777,12,2018,41000,8.0,60.0,950000,0,1,1,0,0,0,1,0
1778,23,2021,32500,7.0,71.0,8500000,1,0,1,0,0,0,1,0
1779,21,2015,61000,5.0,75.0,1975000,1,0,0,1,0,0,1,0
1780,27,2017,85000,5.0,93.0,4200000,1,0,1,0,0,0,1,0
1781,27,2019,55000,5.0,66.0,3500000,1,0,0,1,0,0,1,0
1782,4,2017,45000,5.0,28.0,375000,0,1,0,0,1,1,0,0
1783,27,2016,58000,5.0,50.0,1825000,1,0,1,0,0,0,1,0
1784,12,2021,4400,4.0,57.0,1710000,1,0,1,0,0,1,0,0
1785,6,2014,35000,5.0,35.0,375000,1,0,1,0,0,1,0,0
1786,6,2016,22346,5.0,35.0,285000,0,1,1,0,0,1,0,0
1787,12,2021,23280,6.0,57.0,1850000,0,1,0,1,0,1,0,0
1788,6,2013,72000,7.0,45.0,621000,0,1,1,0,0,0,1,0
1789,13,2016,82000,7.0,70.0,1475000,1,0,1,0,0,0,1,0
1790,17,2015,86000,7.0,80.0,1800000,1,0,0,1,0,0,1,0
1791,9,2018,38000,5.0,43.0,399000,0,1,1,0,0,1,0,0
1792,9,2015,138314,5.0,60.0,890000,0,1,1,0,0,0,1,0
1793,9,2021,9900,5.0,43.0,1325000,1,0,1,0,0,1,0,0
1794,27,2022,12500,5.0,66.0,5300000,1,0,0,0,1,0,1,0
1795,27,2018,51529,5.0,80.0,4775000,1,0,1,0,0,0,1,0
1796,12,2013,60000,7.0,55.0,249000,0,1,1,0,0,0,1,0
1797,6,2019,48000,5.0,35.0,509999,0,1,1,0,0,1,0,0
1798,19,2018,90000,5.0,60.0,1450000,0,1,1,0,0,0,1,0
1799,6,2017,63000,5.0,48.0,640000,0,1,1,0,0,0,1,0
1800,6,2017,65822,5.0,35.0,299000,0,1,1,0,0,0,1,0
1801,6,2009,102000,5.0,35.0,195000,0,1,1,0,0,0,0,1
1802,27,2011,72100,5.0,90.0,1495000,1,0,0,1,0,0,1,0
1803,29,2021,7534,5.0,75.0,14900000,1,0,0,0,1,1,0,0
1804,17,2013,34000,5.0,45.0,350000,0,1,1,0,0,1,0,0
