,Make,Year,Kilometer,Seating_Capacity,Fuel_Tank_Capacity,Price,Automatic,Manual,First_O,Second_O,Others_O,Petrol,Diesel,Others_F
0,7,2017,87150,5.0,35.0,505000,0,1,1,0,0,1,0,0
1,6,2014,75000,5.0,42.0,450000,0,1,0,1,0,0,1,0
2,9,2011,67000,5.0,35.0,220000,0,1,1,0,0,1,0,0
3,17,2019,37500,5.0,37.0,799000,0,1,1,0,0,1,0,0
4,17,2018,69000,7.0,55.0,1950000,0,1,1,0,0,0,1,0
5,6,2017,73315,5.0,43.0,675000,0,1,1,0,0,1,0,0
6,27,2015,47000,5.0,35.0,1898999,1,0,0,1,0,1,0,0
7,25,2017,75000,5.0,51.0,2650000,1,0,0,1,0,0,1,0
8,15,2017,56000,5.0,50.0,1390000,1,0,1,0,0,1,0,0
9,5,2015,85000,5.0,50.0,575000,0,1,1,0,0,0,1,0
10,9,2017,20281,5.0,45.0,591000,0,1,1,0,0,1,0,0
11,4,2018,22541,5.0,28.0,459999,0,1,1,0,0,1,0,0
12,6,2019,30672,5.0,43.0,1075000,1,0,1,0,0,1,0,0
13,11,2019,20856,5.0,50.0,1695000,0,1,1,0,0,0,1,0
14,8,2017,41417,5.0,45.0,944999,1,0,1,0,0,1,0,0
15,6,2016,11471,5.0,35.0,569000,1,0,1,0,0,1,0,0
16,6,2019,3583,5.0,35.0,449000,0,1,1,0,0,1,0,0
17,6,2018,21365,5.0,37.0,894999,1,0,1,0,0,1,0,0
18,6,2020,30777,5.0,32.0,699000,1,0,1,0,0,1,0,0
19,9,2016,60125,5.0,60.0,740000,0,1,1,0,0,1,0,0
20,6,2020,2169,5.0,27.0,470000,1,0,1,0,0,1,0,0
21,8,2015,60240,5.0,55.0,765000,1,0,1,0,0,1,0,0
22,9,2018,13772,5.0,35.0,589000,1,0,1,0,0,1,0,0
23,9,2019,27464,5.0,45.0,999000,0,1,1,0,0,1,0,0
24,6,2019,47377,4.0,60.0,370000,0,1,1,0,0,0,0,1
25,6,2013,23086,5.0,43.0,325000,0,1,1,0,0,1,0,0
26,9,2019,36313,5.0,60.0,1175000,0,1,1,0,0,1,0,0
27,7,2014,39276,5.0,35.0,351000,0,1,1,0,0,1,0,0
28,9,2015,47752,5.0,45.0,551000,0,1,1,0,0,1,0,0
29,7,2018,27963,5.0,40.0,819999,0,1,1,0,0,1,0,0
30,9,2020,24013,5.0,45.0,990000,0,1,1,0,0,1,0,0
31,9,2016,66000,5.0,60.0,925000,1,0,1,0,0,0,1,0
32,14,2015,28000,5.0,52.0,535000,0,1,1,0,0,1,0,0
