,Make,Year,Kilometer,Seating_Capacity,Fuel_Tank_Capacity,Price,Automatic,Manual,First_O,Second_O,Others_O,Petrol,Diesel,Others_F
1236,25,2013,65000,5.0,57.0,1395000,1,0,0,1,0,0,1,0
1237,15,2021,7900,5.0,50.0,1625000,1,0,1,0,0,1,0,0
1238,16,2021,22000,5.0,45.0,1499000,1,0,1,0,0,0,1,0
1239,8,2018,73000,5.0,71.0,2050000,1,0,0,1,0,0,1,0
1240,15,2016,55000,5.0,50.0,1300000,1,0,0,1,0,1,0,0
1241,15,2019,6900,5.0,66.0,3199000,1,0,1,0,0,0,1,0
1242,6,2017,65000,5.0,42.0,450000,0,1,1,0,0,1,0,0
1243,7,2015,48000,7.0,42.0,675000,0,1,1,0,0,0,1,0
1244,6,2018,48000,5.0,35.0,280000,0,1,0,1,0,1,0,0
1245,6,2018,18000,5.0,35.0,425000,0,1,1,0,0,1,0,0
1246,31,2011,27000,5.0,82.5,20000000,1,0,0,0,1,1,0,0
1247,27,2012,78000,5.0,66.0,1250000,1,0,1,0,0,0,1,0
1248,9,2014,87938,7.0,64.0,1175000,1,0,0,1,0,0,1,0
1249,9,2019,43000,5.0,60.0,545000,0,1,1,0,0,0,0,1
1250,27,2008,95200,5.0,66.0,495000,1,0,1,0,0,0,1,0
1251,6,2016,26000,5.0,42.0,500000,0,1,1,0,0,1,0,0
1252,6,2015,70000,5.0,35.0,390000,1,0,1,0,0,1,0,0
1253,6,2019,31000,5.0,60.0,575000,0,1,1,0,0,0,0,1
1254,25,2014,103000,5.0,35.0,2100000,1,0,0,1,0,0,1,0
1255,9,2012,54556,5.0,35.0,250000,0,1,1,0,0,1,0,0
1256,6,2019,74000,5.0,37.0,685000,0,1,1,0,0,1,0,0
1257,4,2016,64000,5.0,28.0,320000,0,1,1,0,0,1,0,0
1258,6,2016,85000,5.0,48.0,620000,0,1,0,1,0,0,1,0
1259,6,2018,54000,5.0,42.0,600000,0,1,1,0,0,1,0,0
1260,19,2019,57000,5.0,60.0,1750000,1,0,1,0,0,1,0,0
1261,28,2018,38000,7.0,65.0,4950000,1,0,1,0,0,0,1,0
1262,9,2015,68566,5.0,60.0,1015000,1,0,1,0,0,0,1,0
1263,17,2009,68195,5.0,55.0,390000,0,1,1,0,0,1,0,0
1264,6,2017,57000,5.0,43.0,755000,0,1,1,0,0,1,0,0
1265,9,2021,45000,5.0,50.0,1825000,1,0,1,0,0,1,0,0
1266,6,2014,60116,5.0,35.0,416000,1,0,1,0,0,1,0,0
1267,6,2010,82202,5.0,43.0,325000,0,1,0,1,0,0,1,0
1268,6,2008,51000,5.0,35.0,218000,0,1,0,1,0,1,0,0
